,city,lat,lon,temperature,air_quality
0,Berlin,52.5170365,13.3888599,6.0,1
1,Madrid,40.4167047,-3.7035825,6.25,2
2,Rome,41.8933203,12.4829321,9.79,1
3,Bucharest,44.4361414,26.1027202,3.5,2
4,Paris,48.8534951,2.3483915,7.27,4
5,Vienna,48.2083537,16.3725042,4.36,1
6,Hamburg,53.550341,10.000654,6.94,1
7,Warsaw,52.2319581,21.0067249,2.68,2
8,Budapest,47.4978918,19.0401609,1.42,1
9,Barcelona,41.3828939,2.1774322,11.13,4
10,Munich,48.1371079,11.5753822,3.7,1
11,Prague,50.0596288,14.446459273258009,3.88,1
12,Milan,45.4641943,9.1896346,4.48,4
13,Sofia,-15.2538402,48.2562163,23.72,1
14,Cologne,43.7218277,0.9774958,8.79,1
15,Stockholm,59.3251172,18.0710935,0.99,1
16,Amsterdam,52.3730796,4.8924534,8.51,1
17,Naples,40.8358846,14.2487679,10.48,1
18,Marseille,43.2961743,5.3699525,6.8,1
19,Turin,45.0677551,7.6824892,4.65,2
20,Kraków,50.0469432,19.997153435836697,1.25,2
21,Valencia,39.4697065,-0.3763353,10.22,1
22,Frankfurt am Main,50.1106444,8.6820917,6.07,2
23,Zagreb,45.8130967,15.9772795,2.8,1
24,Seville,37.3886303,-5.9953403,10.24,1
25,Wrocław,51.1089776,17.0326689,4.26,1
26,Zaragoza,41.6521342,-0.8809428,10.37,2
27,Rotterdam,51.9244424,4.47775,8.05,1
28,Helsinki,60.1674881,24.9427473,-6.07,2
29,Łódź,51.7728245,19.478485931307937,1.91,2
30,Copenhagen,55.6867243,12.5700724,5.37,2
31,Athens,33.9597677,-83.376398,8.91,1
32,Stuttgart,48.7784485,9.1800132,5.8,1
33,Palermo,38.1112268,13.3524434,13.98,1
34,Düsseldorf,51.2254018,6.7763137,7.23,2
35,Leipzig,51.3406321,12.3747329,5.65,1
36,Riga,56.9493977,24.1051846,-2.04,1
37,Gothenburg,57.7072326,11.9670171,5.36,2
38,Vilnius,54.6870458,25.2829111,-1.32,2
39,Dortmund,51.5142273,7.4652789,6.83,2
40,Dublin,53.3493795,-6.2605593,11.13,2
41,Essen,51.4582235,7.0158171,7.07,2
42,Málaga,36.7213028,-4.4216366,11.26,1
43,Bremen,53.0758196,8.8071646,6.09,1
44,The Hague,52.07494555,4.2696802205364515,8.67,2
45,Dresden,51.0493286,13.7381437,5.03,1
46,Genoa,44.40726,8.9338624,8.76,2
47,Lisbon,38.7077507,-9.1365919,11.87,2
48,Hanover,52.3744779,9.7385532,7.06,1
49,Poznań,52.4082663,16.9335199,4.43,1
50,Antwerp,51.2211097,4.3997081,7.81,2
51,Nuremberg,49.453872,11.077298,4.45,1
52,Lyon,45.7578137,4.8320114,5.43,1
53,Duisburg,51.434999,6.759562,7.24,1
54,Toulouse,43.6044622,1.4442469,7.97,1
55,Gdańsk,54.3482907,18.6540233,4.99,1
56,Bratislava,48.15926025,17.139658691421687,1.6,1
57,Murcia,37.9923795,-1.1305431,8.19,2
58,Tallinn,59.4372155,24.7453688,-1.81,1
59,Palma de Mallorca,39.5695818,2.6500745,11.31,2
60,Brno,49.1922443,16.6113382,2.59,1
61,Iași,47.1615416,27.5837224,0.38,1
62,Szczecin,53.4301818,14.5509623,6.01,2
63,Sintra,38.79846,-9.3881,11.56,1
64,Bologna,44.4938203,11.3426327,4.11,5
65,Las Palmas,27.9580004,-15.6062305376665,9.16,2
66,Utrecht,52.0907006,5.1215634,7.81,1
67,Bochum,51.4818111,7.2196635,6.87,2
68,Aarhus,56.1496278,10.2134046,7.09,2
69,Florence,43.7698712,11.2555757,9.1,2
70,Wuppertal,51.264018,7.1780374,5.95,2
71,Malmö,55.6052931,13.0001566,5.13,2
72,Bilbao,43.2630018,-2.9350039,11.59,3
73,Nice,43.7009358,7.2683912,10.22,1
74,Alicante,38.3436365,-0.4881708,10.11,1
75,Bielefeld,52.0191005,8.531007,6.25,1
76,Bonn,50.735851,7.10066,6.74,1
77,Lublin,51.250559,22.5701022,0.44,2
78,Cluj-Napoca,46.769379,23.5899542,-0.23,1
79,Bydgoszcz,53.12974625,18.029369658534854,3.86,1
80,Plovdiv,42.1418541,24.7499297,2.08,1
81,Münster,51.9625101,7.6251879,7.12,1
82,Nantes,47.2186371,-1.5541362,4.17,1
83,Varna,43.2073873,27.9166653,3.21,1
84,Córdoba,37.8845813,-4.7760138,3.86,1
85,Thessaloniki,40.6403167,22.9352716,7.38,1
86,Bari,41.1257843,16.8620293,12.63,1
87,Mannheim,49.4892913,8.4673098,5.99,2
88,Timișoara,45.7538355,21.2257474,0.57,1
89,Karlsruhe,49.0068705,8.4034195,6.29,2
90,Vila Nova de Gaia,41.1300103,-8.6058415,12.13,1
91,Espoo,60.2047672,24.6568435,-6.17,1
92,Galați,45.4338215,28.0549395,3.95,1
93,Kaunas,54.8982139,23.9044817,0.13,1
94,Constanța,44.172889600000005,28.621515355297706,3.36,2
95,Augsburg,48.3668041,10.8986971,3.96,1
