,city,lat,lon,temperature,air_quality
0,Berlin,48.8796039,2.3270446,10.69,5.0
1,Madrid,48.8787676,2.3222643,10.85,5.0
2,Rome,48.8822428,2.3213306,10.86,5.0
3,Bucharest,44.4758985,25.814225757425646,4.01,1.0
4,Paris,48.8787676,2.3222643,10.86,5.0
5,Vienna,48.2082709,16.3711269,8.45,1.0
6,Hamburg,53.551096,9.9345041,7.04,2.0
7,Warsaw,52.2321822,20.98409291362905,5.62,1.0
8,Budapest,48.8768949,2.3268456,10.96,5.0
9,Barcelona,48.5164902,-2.7419736,10.72,2.0
10,Munich,48.1778615,11.5357668,5.99,1.0
11,Prague,48.5174886,-2.7433071,10.72,2.0
12,Milan,45.7810162,3.2063665,4.95,2.0
13,Sofia,42.7117052,23.4348658,2.67,1.0
14,Cologne,49.2541423,4.0644944,5.89,3.0
15,Stockholm,48.8771827,2.3229638,10.86,5.0
16,Amsterdam,48.8797856,2.3270241,10.96,5.0
17,Naples,48.8799023,2.3208511,10.86,5.0
18,Marseille,43.29672875,5.361025473368164,14.16,2.0
19,Turin,45.022433750000005,7.671010228909679,9.15,2.0
20,Kraków,50.0469432,19.997153435836697,1.25,2
21,Valencia,44.9292885,4.9242802,7.83,1.0
22,Frankfurt am Main,50.1140108,8.6762794,8.47,2.0
23,Zagreb,45.7767632,15.96864692216213,7.57,1.0
24,Seville,37.3886303,-5.9953403,10.24,1
25,Wrocław,51.1940826,17.034948997319972,7.4,1.0
26,Zaragoza,41.6415176,-0.7678042,12.9,2.0
27,Rotterdam,47.4231062,0.6872706,8.87,1.0
28,Helsinki,60.1638611,24.945779,0.78,1.0
29,Łódź,52.22269685,19.42115207902406,6.42,1.0
30,Copenhagen,55.6979906,12.5934474,7.92,1.0
31,Athens,32.3500733,-90.1362691,11.8,1.0
32,Stuttgart,48.7898741,9.1840494,6.94,1.0
33,Palermo,38.1112268,13.3524434,13.98,1
34,Düsseldorf,51.14698645,6.888459244347606,9.96,1.0
35,Leipzig,51.3427449,12.3775486,8.53,1.0
36,Riga,56.9581622,24.1155884,2.08,2.0
37,Gothenburg,57.7046782,11.9196951,6.37,2.0
38,Vilnius,54.673947,25.2678124,2.7,1.0
39,Dortmund,51.48636904999999,7.477546769119209,8.78,1.0
40,Dublin,48.8806917,2.3247546,10.86,5.0
41,Essen,51.487892450000004,6.999042710002573,9.08,1.0
42,Málaga,36.6240149,-4.4977427,16.72,2.0
43,Bremen,53.0832521,8.7880124,7.52,1.0
44,The Hague,52.0743018,4.4009546,9.67,1.0
45,Dresden,51.1628564,13.7992367,7.19,1.0
46,Genoa,44.4045089,8.9737047,10.03,4.0
47,Lisbon,39.4332242,-8.567392135367742,16.51,2.0
48,Hanover,52.3482022,9.714347257032589,9.52,1.0
49,Poznań,52.4079557,16.9018029,6.94,1.0
50,Antwerp,51.1281522,4.4019354,9.29,1.0
51,Nuremberg,,,,
52,Lyon,46.2998461,4.8255884,6.98,1.0
53,Duisburg,51.49201805,6.721751541692619,9.4,1.0
54,Toulouse,43.6111583,1.371117,9.99,1.0
55,Gdańsk,54.3623151,18.6564433,7.62,1.0
56,Bratislava,48.1572046,17.1196388,6.83,1.0
57,Murcia,37.936547899999994,-1.181633326132044,16.25,2.0
58,Tallinn,59.4372155,24.7453688,-1.81,1
59,Palma de Mallorca,39.60185,2.6561645,15.27,2.0
60,Brno,48.971389,16.524857997503446,7.56,1.0
61,Iași,47.1594553,27.5884507,4.18,1.0
62,Szczecin,53.4301818,14.5509623,6.01,2
63,Sintra,38.7809855,-9.500626,16.39,2.0
64,Bologna,44.5876327,11.3765179,9.61,3.0
65,Las Palmas,28.8634046,-13.8295187,21.06,4.0
66,Utrecht,51.9872865,5.106529,9.0,1.0
67,Bochum,51.4868361,7.2518333,8.53,1.0
68,Aarhus,56.1496278,10.2134046,7.09,2
69,Florence,48.6290425,2.5831656,10.33,4.0
70,Wuppertal,51.2714996,7.2010162,8.24,1.0
71,Malmö,55.6052931,13.0001566,5.13,2
72,Bilbao,43.2716263,-2.9642343537773606,12.56,2.0
73,Nice,43.700126499999996,7.270909174999985,14.93,1.0
74,Alicante,38.2885318,-0.6147218,15.4,2.0
75,Bielefeld,52.0191005,8.531007,6.25,1
76,Bonn,50.7401764,7.0900429,10.1,1.0
77,Lublin,51.2197732,22.435337670276475,2.83,1.0
78,Cluj-Napoca,46.7727596,23.6282712,4.8,1.0
79,Bydgoszcz,53.110524,18.075816582208404,6.91,1.0
80,Plovdiv,42.1204262,24.7327214,2.08,1.0
81,Münster,51.90028945,7.6480745752272234,8.91,1.0
82,Nantes,47.1730213,-1.4763206,10.1,2.0
83,Varna,43.2071763,27.9180483,4.21,2.0
84,Córdoba,37.8845813,-4.7760138,3.86,1
85,Thessaloniki,40.637376700000004,22.936738343562645,6.89,2.0
86,Bari,44.4899733,9.768055,10.32,2.0
87,Mannheim,49.4910813,8.4645948,8.55,2.0
88,Timișoara,45.75957665,21.23898245,5.06,1.0
89,Karlsruhe,49.1819013,8.6091005,8.12,2.0
90,Vila Nova de Gaia,41.1300103,-8.6058415,12.13,1
91,Espoo,60.2047672,24.6568435,-6.17,1
92,Galați,45.4338215,28.0549395,3.95,1
93,Kaunas,54.92137805,23.944397914989967,2.97,2.0
94,Constanța,44.1994654,28.6473053,3.55,2.0
95,Augsburg,48.3668041,10.8986971,3.96,1
